FileName,Extension,Technology,Status,isBinary,Bytes,ContentType,ContentLines,CommentLines,BlankLines
/export_data.py,py,Python,OK,a,7686,Code,162,16,45
/12_deployment_setup.sql,sql,SQL,OK,a,14334,Code,280,36,50
/14_csv_export_scripts.sql,sql,SQL,OK,a,20205,Code,329,26,70
/04_risk_compliance_tables.sql,sql,SQL,OK,a,17603,Code,382,29,28
/05_loan_credit_tables.sql,sql,SQL,OK,a,20124,Code,447,27,28
/09_views.sql,sql,SQL,OK,a,21526,Code,445,28,23
/11_sample_data.sql,sql,SQL,OK,a,25969,Code,316,41,41
/07_remaining_tables.sql,sql,SQL,OK,a,28332,Code,615,87,41
/13_generate_bulk_data.sql,sql,SQL,OK,a,23001,Code,411,33,34
/08_stored_procedures.sql,sql,SQL,OK,a,26611,Code,561,76,86
/storage,,Other,OK,B,57344,Other,355,0,12
/README.md,md,Other,OK,B,14419,Other,410,0,100
/export_data.sh,sh,Shell,OK,a,8177,Script,204,25,46
/03_trading_tables.sql,sql,SQL,OK,a,14945,Code,340,27,28
/deploy.sh,sh,Shell,OK,a,13735,Script,330,50,76
/10_indexes_constraints.sql,sql,SQL,OK,a,22690,Code,312,66,85
/02_core_tables.sql,sql,SQL,OK,a,12820,Code,300,27,28
/01_create_database.sql,sql,SQL,OK,a,1338,Code,17,7,7
/06_analytics_payment_tables.sql,sql,SQL,OK,a,20493,Code,480,38,33
